Var,Price,Year,Mileage,Color,City_La_
169,10995,2016,88310,SILVER,LA
170,10995,2016,90845,GRAY,LA
171,10995,2016,133758,GREEN,LA
172,10995,2015,87846,GREEN,LA
173,10995,2015,91816,BLACK,LA
174,10993,2016,85901,SILVER,LA
175,10991,2016,68588,SILVER,LA
176,10990,2015,75847,SILVER,LA
177,10990,2017,76794,SILVER,LA
178,10988,2017,100014,WHITE,LA
179,10988,2015,89970,BLUE,LA
180,10980,2015,80862,BLACK,LA
181,10900,2016,136354,WHITE,LA
182,10900,2015,79000,BLACK,LA
183,10900,2015,60200,GRAY,LA
184,10900,2017,62932,SILVER,LA
185,10900,2017,71270,WHITE,LA
186,10900,2016,43000,SILVER,LA
187,10850,2015,118230,GRAY,LA
188,10700,2015,93500,GREEN,LA
189,10688,2016,84340,GRAY,LA
190,10582,2016,67592,BLACK,LA
191,10500,2015,108817,BLACK,LA
192,10500,2015,94546,GREEN,LA
193,10500,2015,84934,BLACK,LA
194,10500,2016,88000,SILVER,LA
195,10495,2017,72113,BLACK,LA
196,10495,2017,79937,BLACK,LA
197,10495,2017,85601,SILVER,LA
198,9999,2015,101538,BLUE,LA
199,9999,2014,32851,GOLD,LA
200,9999,2014,51873,RED,LA
201,9999,2015,101025,SILVER,LA
202,9995,2016,69000,SILVER,LA
203,9995,2015,78000,GRAY,LA
204,9995,2015,61771,BLUE,LA
205,9995,2016,81000,SILVER,LA
206,9995,2016,82000,GRAY,LA
207,9995,2015,109383,WHITE,LA
208,9995,2015,98915,RED,LA
209,9995,2015,91057,WHITE,LA
210,9995,2016,86358,BLACK,LA
211,9990,2015,76480,GREEN,LA
212,9985,2015,83398,WHITE,LA
213,9950,2017,64646,BLACK,LA
214,9900,2016,76039,WHITE,LA
215,9884,2016,78737,WHITE,LA
216,9700,2015,80560,BLACK,LA
217,9500,2016,150727,BLACK,LA
218,9500,2015,79300,SILVER,LA
219,9500,2015,60961,GRAY,LA
220,9500,2016,67000,GOLD,LA
221,9499,2015,61426,GRAY,LA
222,9495,2015,95607,SILVER,LA
223,9300,2016,66000,GRAY,LA
224,9300,2014,81795,WHITE,LA
225,9250,2016,86550,SILVER,LA
226,9100,2016,146950,BLUE,LA
227,9000,2016,80800,BLACK,LA
228,8995,2014,66152,SILVER,LA
229,8995,2014,81249,GOLD,LA
230,8995,2016,161049,WHITE,LA
231,8995,2015,72000,SILVER,LA
232,8995,2015,76000,BLUE,LA
233,8995,2014,78608,GRAY,LA
234,8995,2017,87400,BLUE,LA
235,8990,2014,116000,SILVER,LA
236,8841,2014,68650,GOLD,LA
237,8750,2016,105822,GRAY,LA
238,8500,2015,72000,SILVER,LA
239,8500,2014,111100,GOLD,LA
240,8500,2014,71259,WHITE,LA
241,8495,2014,83425,BLACK,LA
242,8495,2017,94893,BLACK,LA
243,8490,2014,57300,GRAY,LA
244,8350,2017,80300,SILVER,LA
245,8200,2015,138223,GRAY,LA
246,8000,2015,127136,BLUE,LA
247,7999,2014,90000,GOLD,LA
248,7999,2015,107965,GOLD,LA
249,7995,2015,88000,GREEN,LA
250,7995,2014,73723,BLACK,LA
251,7900,2016,66000,SILVER,LA
252,7900,2014,65000,GREEN,LA
253,7890,2014,103020,SILVER,LA
254,7750,2015,128750,GRAY,LA
255,7500,2014,91554,GOLD,LA
256,7000,2014,42000,BLACK,LA
257,7000,2014,79908,GREEN,LA
258,7000,2014,94000,WHITE,LA
259,6995,2014,86560,BLUE,LA
260,6988,2014,72161,BLACK,LA
261,6950,2014,106284,SILVER,LA
262,6900,2014,95795,WHITE,LA
263,6800,2014,75000,GRAY,LA
264,6495,2014,11300,SILVER,LA
265,6300,2014,215000,WHITE,LA
266,6300,2014,74000,GOLD,LA
267,5995,2014,149192,WHITE,LA
268,12789,2016,66718,GOLD,SLC
269,11995,2015,61150,GOLD,SLC
270,10976,2015,72868,WHITE,SLC
271,10900,2015,75550,GOLD,SLC
272,9995,2014,58570,SILVER,SLC
273,9995,2014,84060,GRAY,SLC
274,9995,2015,87150,SILVER,SLC
275,16750,2017,68000,RED,SLC
276,14970,2016,43371,GRAY,SLC
277,14930,2016,39669,WHITE,SLC
278,14830,2016,34181,GRAY,SLC
279,14500,2016,42393,GOLD,SLC
280,13995,2016,50688,BLUE,SLC
281,13980,2017,45950,SILVER,SLC
282,13964,2017,45868,BLUE,SLC
283,13445,2016,63125,GOLD,SLC
284,13399,2015,66000,WHITE,SLC
285,12988,2016,65965,GOLD,SLC
286,12985,2016,66200,RED,SLC
287,12725,2017,46617,SILVER,SLC
288,12350,2015,66000,GOLD,SLC
289,11997,2016,65691,GOLD,SLC
290,11995,2015,55091,SILVER,SLC
291,11788,2015,67701,GOLD,SLC
292,11599,2015,92887,GREEN,SLC
293,11500,2016,67622,GRAY,SLC
294,11500,2015,91827,GOLD,SLC
295,11465,2016,68836,GRAY,SLC
296,10999,2015,86639,WHITE,SLC
297,10995,2015,72476,SILVER,SLC
298,10995,2015,88315,WHITE,SLC
299,10995,2016,84201,BLACK,SLC
300,10825,2015,93970,GRAY,SLC
301,10495,2017,59002,SILVER,SLC
302,10490,2017,78820,GREEN,SLC
303,9995,2015,114134,BLUE,SLC
304,9995,2017,115394,GRAY,SLC
305,9950,2016,71000,RED,SLC
306,9950,2017,105825,GRAY,SLC
307,9950,2016,71500,RED,SLC
308,9900,2015,48636,RED,SLC
309,9900,2015,84075,SILVER,SLC
310,9700,2017,51590,BLACK,SLC
311,9595,2016,86195,GOLD,SLC
312,9495,2014,77877,GOLD,SLC
313,9250,2014,67156,GRAY,SLC
314,8999,2015,85556,GRAY,SLC
315,8900,2015,117399,WHITE,SLC
316,8858,2015,102020,GREEN,SLC
317,8490,2016,111000,WHITE,SLC
318,8293,2015,113240,GRAY,SLC
319,7997,2014,109965,GRAY,SLC
320,7699,2015,102130,SILVER,SLC
321,7500,2014,85925,WHITE,SLC
322,6589,2014,112533,BLACK,SLC
323,8995,2015,76913,RED,SLC
